v8-version,8,4,371,19,-node.17,0
code-creation,Builtin,3,2283,0x139b200,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2286,0x139b240,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2289,0x139b280,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2292,0x139b2c0,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2296,0x139b320,287,CallApiCallback
code-creation,Builtin,3,2299,0x139b440,269,CallApiGetter
code-creation,Builtin,3,2302,0x139b560,12,HandleApiCall
code-creation,Builtin,3,2305,0x139b580,12,HandleApiCallAsFunction
code-creation,Builtin,3,2308,0x139b5a0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,2311,0x139b5c0,72,AllocateInYoungGeneration
code-creation,Builtin,3,2314,0x139b620,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,2317,0x139b660,72,AllocateInOldGeneration
code-creation,Builtin,3,2320,0x139b6c0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,2324,0x139b700,484,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2327,0x139b900,563,GrowFastDoubleElements
code-creation,Builtin,3,2330,0x139bb40,442,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2333,0x139bd00,353,NewArgumentsElements
code-creation,Builtin,3,2336,0x139be80,500,DebugBreakTrampoline
code-creation,Builtin,3,2339,0x139c080,141,FrameDropperTrampoline
code-creation,Builtin,3,2388,0x139c120,45,HandleDebuggerStatement
code-creation,Builtin,3,2392,0x139c160,254,ToObject
code-creation,Builtin,3,2396,0x139c260,100,ToBoolean
code-creation,Builtin,3,2400,0x139c2e0,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,2405,0x139c400,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,2409,0x139c520,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,2414,0x139c600,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,2417,0x139c6e0,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,2420,0x139c7c0,85,StringToNumber
code-creation,Builtin,3,2423,0x139c820,129,ToName
code-creation,Builtin,3,2426,0x139c8c0,235,NonNumberToNumber
code-creation,Builtin,3,2429,0x139c9c0,255,NonNumberToNumeric
code-creation,Builtin,3,2432,0x139cac0,239,ToNumber
code-creation,Builtin,3,2436,0x139cbc0,272,ToNumberConvertBigInt
code-creation,Builtin,3,2440,0x139cce0,275,ToNumeric
code-creation,Builtin,3,2443,0x139ce00,261,NumberToString
code-creation,Builtin,3,2447,0x139cf20,382,ToLength
code-creation,Builtin,3,2450,0x139d0a0,140,Typeof
code-creation,Builtin,3,2453,0x139d140,69,GetSuperConstructor
code-creation,Builtin,3,2457,0x139d1a0,125,BigIntToI64
code-creation,Builtin,3,2462,0x139d220,12,BigIntToI32Pair
code-creation,Builtin,3,2466,0x139d240,309,I64ToBigInt
code-creation,Builtin,3,2468,0x139d380,12,I32PairToBigInt
code-creation,Builtin,3,2476,0x139d3a0,108,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,2479,0x139d420,3433,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,2483,0x139e1a0,15988,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,2486,0x13a2020,245,LoadGlobalIC_NoFeedback
code-creation,Builtin,3,2489,0x13a2120,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,2492,0x13a2180,20,LoadIC_StringLength
code-creation,Builtin,3,2495,0x13a21a0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,2498,0x13a21c0,3064,LoadIC_NoFeedback
code-creation,Builtin,3,2501,0x13a2dc0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,2504,0x13a2e00,6952,StoreIC_NoFeedback
code-creation,Builtin,3,2507,0x13a4940,188,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,2510,0x13a4a00,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,2513,0x13a4a60,340,KeyedStoreIC_SloppyArguments_Standard
